people_id,name,birth_date
p_2265,Adrienne Corri,1930-11-13
p_105865,Laurence Payne,1919-06-05
p_68884,John Collin,1928-10-18
p_26717,David Haig,1955-09-20
p_120153,Nigel Lambert,1944-05-11
p_270437,Martin Fisk,\N
p_270438,Roy Montague,\N
p_116695,Ian Talbot,\N
p_20116,Lalla Ward,1951-06-28
p_10258,Tina Engel,1950-04-06
p_45693,Hans Diehl,1940-01-01
p_46981,Martin Walz,1964-07-06
p_2313,Curt Bois,1901-04-05
p_100700,Ilse Bahrs,\N
p_100701,Gerd David,\N
p_100702,Simone,\N
p_232455,Xevat Gectan,\N
p_232456,Erdal Celik,\N
p_232457,Nurretin Celik,\N
p_232458,Bulent Buyukasik,\N
p_52329,Ezio Greggio,\N
p_6844,Dom DeLuise,1933-08-01
p_1954,Billy Zane,1966-02-24
p_36059,Joanna Pacula,1957-01-02
p_21862,Charlene Tilton,1958-12-01
p_52043,Stuart Pankin,1946-04-08
p_32913,Anne Heywood,1932-12-11
p_36913,Luc Merenda,1943-09-03
p_27163,Ornella Muti,1955-03-09
p_24610,Martine Brochard,1946-07-02
p_38892,Muriel Catalá,1952-07-20
p_99154,Claudia Gravy,\N
p_24599,Duilio del Prete,1938-05-25
p_33815,Pier Paolo Capponi,1938-06-09
p_124548,Gianluigi Chirizzi,\N
p_135794,Maki Sakai,\N
p_96142,Arata,\N
p_135795,Akie Namiki,\N
p_135796,Gô Jibiki,\N
p_62333,Ji-Woo Choi,\N
p_62336,Hee-kyung Jin,\N
p_62337,Han-seon Jo,\N
p_62334,Yeong Hyeon,\N
p_62332,Seong-guk Choi,\N
p_62338,Yun-Hee Kim,\N
p_62339,Hyeon-kyeong Oh,\N
p_62340,Yeong-hie Seo,1980-06-13
p_85026,Peter Haber,1952-12-12
p_104442,Ulf Brunnberg,\N
p_229118,Björn Gustafson,1934-11-30
p_55004,Birgitta Andersson,\N
p_218860,Anthony Kemp,\N
p_23356,Mari Töröcsik,1935-11-23
p_261614,László Kozák,\N
p_261615,Sándor Pécsi,\N
p_261616,William Burleigh,\N
p_11085,Anthony Edwards,1962-07-19
p_1461,George Clooney,1961-05-06
p_25654,Julianna Margulies,1966-06-08
p_33653,Sherry Stringfield,1967-06-24
p_23628,Eriq La Salle,1962-07-23
p_2683,Glenn Plummer,1961-08-18
p_122494,Györgyi Tarján,1957-11-12
p_521,Michael J. Fox,1961-06-09
p_4800,Gena Rowlands,1930-06-19
p_21730,Joan Jett,1958-09-22
p_21731,Michael McKean,1947-10-17
p_15419,Thomas G. Waites,\N
p_21732,Chery Jones,\N
p_21733,Michael Dolan,\N
p_21734,Paul J. Harkins,\N
p_21735,Billy L. Sullivan,\N
p_21736,Jason Miller,1939-04-22
p_27594,Hans Jörg Felmy,1931-01-31
p_26516,Ingeborg Schöner,1935-07-02
p_6258,Peter Weck,1930-08-12
p_242225,Gaston Brocksieper,\N
p_45283,Leticia Roman,1941-08-12
p_36068,Bianca Lawson,1979-03-20
p_85841,Michelle Hurd,1966-12-21
p_120437,Rukiya Bernard,1983-01-20
p_60607,Nneka Croal,\N
p_162160,Daniela Dib,\N
p_231203,Anthony Konechny,\N
p_278607,Charles George Hildebrandt,\N
p_190323,Tom DeFranco,\N
p_278608,Richard Lee Porter,\N
p_278609,Jean Tafler,\N
p_34581,Patrick Dewaere,1947-01-26
p_39330,France Dougnac,1951-06-10
p_68798,Dorothée Jemma,\N
p_38499,Maurice Barrier,1932-06-08
p_173005,Jun Matsumoto,\N
p_169013,Masami Nagasawa,1987-06-03
p_66155,Hiroshi Abe,1964-06-22
p_63696,Kippei Shiina,\N
p_263376,Daisuke Miyagawa,\N
p_80914,Masahiro Komoto,\N
p_233557,Margarete Schön,\N
p_79,Theodor Loos,1883-05-18
p_230126,Gertrud Arnold,\N
p_241102,Hans Carl Müller,\N
p_197096,Ricardo Islas,\N
p_277600,Luciana Grasso,\N
p_277601,Franco Duran,\N
p_277602,Julieta Spinelli,\N
p_277603,Bruno Salvatti,\N
p_277604,Yuly Aramburu,\N
p_54579,Hugo Blandamuro,\N
p_277605,Daiana Carigi,\N
p_277606,Valeria Martínez Eguizabal,\N
p_277607,Lucas Fressero,\N
p_277608,Vladimir Knazevs,\N
p_277609,Juan Carlos Lema,\N
p_277610,Fernán Moliv,\N
p_277611,Patricia Porzio,\N
p_277612,Emanuel Sobré,\N
p_30428,Michael Sarrazin,1940-05-22
p_27747,Chuck Connors,1921-04-10
p_41217,Tom Bosley,1927-10-01
p_41229,Meg Foster,1948-05-10
p_41230,John Astin,1930-03-30
p_41231,John Ericson,1926-09-25
p_133773,Bob Corff,\N
p_132142,Elaine Giftos,1945-01-24
p_4971,Bud Cort,1948-03-29
p_3094,Talia Shire,1946-04-25
p_26664,Ben Vereen,1946-10-10
p_8434,Cindy Williams,1947-08-22
p_133778,Alex Wilson,\N
p_133779,Alan Braunstein,\N
p_133780,Phil Borneo,\N
p_92651,Lou Procopio,\N
p_133781,Jackie Farley,\N
p_22425,Michael D. Castle,\N
p_133782,Alan DeWitt,\N
p_133783,Juretta Taylor,\N
p_133784,Bruce Karcher,\N
p_133785,David Osterhout,\N
p_133786,Ray Birk,\N
p_58294,George Armitage,1942-01-01
p_133787,Gary Caplan,\N
p_133788,Abe Santillanes,\N
p_86187,Silvia Dionisio,1951-09-23
p_25333,Philippe Leroy,1930-10-15
p_85585,Christian Borromeo,1957-11-19
p_118460,Rossana Podestà,1934-08-20
p_38511,Carmen Scarpitta,\N
p_41163,Serena Grandi,1958-03-23
p_118486,Germana Savo,\N
p_41063,Silvano Tranquilli,1925-10-26
p_111400,Mario Maranzana,\N
p_118487,Daniel Gohl,\N
p_28846,Alexander Skarsgård,1976-08-26
p_2231,Samuel L. Jackson,1948-12-21
p_27319,Christoph Waltz,1956-10-04
p_252579,Osy Ikhile,\N
p_143237,Mens-Sana Tamakloe,\N
p_235045,Casper Crump,\N
p_111427,Aleksandar Mikic,\N
p_230826,Ian Mercer,\N
p_244597,Laurence Spellman,\N
p_60416,Alex Ferns,1968-10-13
p_229503,Roger Evans,\N
p_938,Djimon Hounsou,1964-04-24
p_252580,Yule Masiteng,\N
p_252581,Mimi Ndiweni,1991-08-31
p_49966,Faith Edwards,\N
p_232717,Matt Cross,\N
p_221174,Charlie Anson,\N
p_57461,Simon Russell Beale,1961-01-12
p_151843,John Hollingworth,\N
p_74981,Miles Jupp,\N
p_3550,Teresa Churcher,\N
p_388,Jim Broadbent,1949-05-24
p_100343,Christopher Benjamin,\N
p_21343,Ben Chaplin,1970-07-31
p_223615,Genevieve O'Reilly,1977-01-06
p_26395,Götz George,1938-07-23
p_28368,Klaus J. Behrendt,1960-02-07
p_39908,Ulrike Krumbiegel,1961-12-16
p_45689,Sergej Moya,1987-01-14
p_4797,Christine Schorn,1944-02-01
p_124974,Cornelia Schmaus,1946-09-15
p_13740,Ursula Werner,1943-09-28
p_282386,Dorothea Arnold,\N
p_252615,Michael Klammer,\N
p_107752,Lotte Ohm,\N
p_127947,Karina Fallenstein,1961-01-01
p_238862,Hampton Fluker,\N
p_1983,Vincent Laresca,1974-01-21
p_224410,Santino Fontana,\N
p_6183,Michael Esper,1976-12-01
p_153902,Gino Anthony Pesi,1980-11-03
p_239392,Annie Chang,\N
p_205929,Erica Ash,1977-09-19
p_239516,Caleb McLaughlin,2001-10-13
p_172309,Jo Armeniox,\N
p_12139,Lolita Davidovich,1961-07-15
p_213810,Charlie Hudson III,\N
p_176818,Rony Clanton,\N
p_27932,Lilli Palmer,1914-05-24
p_50980,Peter Schütte,\N
p_19526,Maria Sebaldt,1930-04-26
p_47168,Rudolf Vogel,1900-11-10
p_37914,Gerd Frickhöffer,1913-11-21
p_26447,Fritz Eckhardt,1907-11-30
p_20888,Rudolf Rhomberg,1920-02-01
p_36498,Barbara Gallauner,\N
p_50981,Karl-Heinz Peters,\N
p_50982,Alfons Teuber,\N
p_2732,Gusti Kreissl,1904-01-02
p_50985,Toni Treutler,\N
p_12373,Paul Hartmann,1889-01-08
p_33070,Attila Hörbiger,1896-04-21
p_33071,Olly von Flint,\N
p_12324,Otto Wernicke,1893-09-30
p_12325,Gustaf Gründgens,1899-12-22
p_33072,Max Weydener,\N
p_33073,Elga Brink,\N
p_33074,Richard Ryen,\N
p_33075,Georg Henrich,\N
p_9839,Max Schreck,1879-09-06
p_33076,Magda Lena,\N
p_33077,Will Dohm,\N
p_33078,Ferdinand Marian,1902-08-14
p_33079,Josef Eichheim,\N
p_33080,Günther Vogdt,\N
p_33081,Erna Fentsch,1909-04-21
p_33082,Beppo Brem,1906-03-11
p_33083,Otto Brüggemann,\N
p_33084,Friedrich Ulmer,\N
p_152518,Aaron Tveit,1983-10-21
p_90426,Julianne Hough,1988-07-20
p_233548,Carlos PenaVega,1989-08-15
p_144506,Vanessa Hudgens,1988-12-14
p_61961,Dave Thomas,1949-05-20
p_62054,Faith Ford,1964-09-14
p_1580,Daveigh Chase,1990-07-24
p_71728,Tom Poston,1921-10-17
p_381,Katherine Helmond,1928-07-05
p_95732,Sammy Kahn,\N
p_18262,Richard Riehle,1948-05-12
p_15661,Clint Howard,1959-04-20
p_3138,Kathy Griffin,\N
p_14101,John Larroquette,1947-11-25
p_3392,Michael Douglas,1944-09-25
p_515,Glenn Close,1947-03-19
p_10427,Anne Archer,1947-08-25
p_45865,Ellen Hamilton Latzen,1980-07-26
p_148923,Greg Scott,\N
p_148924,Ellen Foley,\N
p_2207,Lois Smith,1930-11-03
p_56266,Fred Gwynne,1926-07-10
p_148925,Meg Mundy,\N
p_148926,Tom Brennan,\N
p_148927,Sam Coppola,\N
p_148928,David Bates,\N
p_19151,James Eckhouse,1955-02-14
p_13636,Jane Krakowski,1968-10-11
p_148929,Chris Manor,\N
p_109757,Mikijiro Hira,\N
p_121006,Shima Iwashita,1941-01-03
p_110532,Toshie Kimura,\N
p_199825,Kantarô Suga,\N
p_153170,Hiroko Andô,\N
p_80932,Sola Aoi,1983-11-11
p_153171,Minami Aoyama,\N
